,C6orf223,KRT7,cg18949415,cg22193385
105,8.923332321,39.47354809,0.277951,0.0520701
106,10.87637285,0.261376485,0.2130228,0.03867838
107,0.617192603,15.35003356,0.4719303,0.1173622
108,8.712397799,1.675232663,0.1014547,0.06115792
109,28.40814446,5.51243899,0.1832766,0.02941042
110,12.51942765,1.382062942,0.1555153,0.03347794
111,9.037977444,0.483380554,0.1946703,0.2002197
112,7.697074655,2.294497369,0.09070109,0.02675957
113,15.52941576,8.936884844,0.2001897,0.1709112
114,8.671683752,3.561716409,0.1822455,0.08022365
115,5.543355272,5.047318715,0.2005512,0.03857541
116,6.825244152,2.505151776,0.1945617,0.03802895
117,0.461032941,5.718061021,0.3838072,0.1730787
118,2.48874623,0.950731542,0.08766096,0.03493178
119,6.642312036,4.386211522,0.1810222,0.06259278
120,6.996071799,3.429518449,0.2941908,0.04416578
121,7.731716214,1.251849944,0.1115332,0.08465379
122,6.360620111,1.844914131,0.1969178,0.1441649
123,8.162677372,1.684980535,0.303288,0.04996106
124,1.336905597,1.48599108,0.2016229,0.03895951
125,2.200694601,11.6085754,0.1800625,0.02616509
126,1.636353292,0.690877809,0.09308002,0.03064551
127,17.07868351,2.117383318,0.2235916,0.06152397
128,9.622024678,1.522668836,0.3506235,0.07192541
129,8.004863918,0.176354164,0.1579791,0.07887231
130,5.854521203,0.81895406,0.3366815,0.05964781
131,4.703916636,2.015160388,0.2046201,0.05229127
132,7.573791649,303.6595999,0.2816613,0.04920779
133,16.75958641,0.855840848,0.1148797,0.06547658
134,9.899952307,42.64464665,0.2671345,0.05443928
135,13.41604631,3.534665615,0.3336635,0.05547182
136,3.869679616,0.134476737,0.150461,0.228835
137,12.49097012,1.616835564,0.1191983,0.02680682
138,11.80785843,0.532713097,0.1461614,0.1478702
139,24.66000518,0.17854828,0.1029017,0.3424952
140,11.43059346,0.558822555,0.1072572,0.0443281
141,6.746717498,1.55593644,0.3535116,0.08868397
142,10.80114262,2.004198735,0.2806383,0.09126638
143,19.66879182,0.840608124,0.1640884,0.0675401
144,12.00744921,0.386940883,0.2755805,0.08271226
145,5.952867691,0.910131958,0.2631677,0.07373455
146,10.60640246,2.493062174,0.262602,0.05631694
147,10.91341267,4.397529792,0.2289284,0.07378823
148,8.717156506,80.08331439,0.08119997,0.01843852
149,4.152296597,0.241030545,0.1369885,0.1945591
150,24.68457519,4.47823014,0.1589222,0.04072687
151,15.34109926,0.132137573,0.1376302,0.08878043
152,11.37121968,0.23569595,0.1107423,0.2760644
153,3.075016049,2.146432166,0.2473138,0.0794685
154,0.14135342,0.109260729,0.2660634,0.2076222
155,22.0618233,1.994456492,0.1921193,0.03320825
156,6.166161089,0.758278265,0.1490181,0.1466128
157,10.30894007,3.509033441,0.2455556,0.04408004
158,2.209990234,6.725954238,0.3457993,0.03067816
159,7.04849372,1.374064342,0.1914269,0.04914073
160,1.511181017,1.290455264,0.3979055,0.05103944
161,9.938301272,2.164256854,0.1722875,0.04519637
162,13.28984623,2.844900699,0.1933423,0.04602153
163,39.86372879,1.117133257,0.1171925,0.3090744
164,12.01144808,4.332830229,0.2748291,0.05954988
165,7.872534552,0.691527822,0.2112157,0.178921
166,26.02781178,0.763877789,0.1436673,0.04135399
167,24.33185711,1.538239848,0.2485844,0.08838199
168,7.108829827,3.625394343,0.3389094,0.04826135
169,5.167358883,1.673268377,0.2759339,0.1041759
170,6.423101269,2.224209533,0.2075521,0.03239904
171,3.2006333,1.646942541,0.2002491,0.01768
172,4.68041346,0.400294242,0.1105855,0.2498203
173,3.672670167,2.463325172,0.1322093,0.03791363
174,3.250451653,0.406383561,0.1388972,0.03541435
175,11.51033931,1.255662288,0.2347761,0.09545528
